id,title,category,price,discountPercentage,rating,stock,brand,sku,weight,availabilityStatus,returnPolicy,minimumOrderQuantity,Discount_Amount,Discounted_Price,Inventory_Value,Discounted_Inventory_Value,Discount_Band,Stock_Status
16,Apple,groceries,1.99,12.62,4.19,8,Unknown,GRO-BRD-APP-016,9,In Stock,90 days return policy,7,0.25,1.74,15.92,13.92,Medium,Low Stock
17,Beef Steak,groceries,12.99,9.61,4.47,86,Unknown,GRO-BRD-BEE-017,10,In Stock,60 days return policy,43,1.25,11.74,1117.14,1009.64,Low,High Stock
18,Cat Food,groceries,8.99,9.58,3.13,46,Unknown,GRO-BRD-FOO-018,10,In Stock,No return policy,18,0.86,8.13,413.54,373.98,Low,Medium Stock
19,Chicken Meat,groceries,9.99,13.7,3.19,97,Unknown,GRO-BRD-CHI-019,1,In Stock,7 days return policy,22,1.37,8.62,969.03,836.14,Medium,High Stock
20,Cooking Oil,groceries,4.99,9.33,4.8,10,Unknown,GRO-BRD-COO-020,5,In Stock,30 days return policy,46,0.47,4.52,49.9,45.2,Low,Low Stock
21,Cucumber,groceries,1.49,0.16,4.07,84,Unknown,GRO-BRD-CUC-021,4,In Stock,7 days return policy,2,0.0,1.49,125.16,125.16,Low,High Stock
22,Dog Food,groceries,10.99,10.27,4.55,71,Unknown,GRO-BRD-FOO-022,10,In Stock,60 days return policy,43,1.13,9.86,780.29,700.06,Medium,High Stock
23,Eggs,groceries,2.99,11.05,2.53,9,Unknown,GRO-BRD-EGG-023,2,In Stock,No return policy,32,0.33,2.66,26.91,23.94,Medium,Low Stock
24,Fish Steak,groceries,14.99,4.23,3.78,74,Unknown,GRO-BRD-FIS-024,6,In Stock,60 days return policy,50,0.63,14.36,1109.26,1062.64,Low,High Stock
25,Green Bell Pepper,groceries,1.29,0.16,3.25,33,Unknown,GRO-BRD-GRE-025,2,In Stock,30 days return policy,12,0.0,1.29,42.57,42.57,Low,Medium Stock
26,Green Chili Pepper,groceries,0.99,1.0,3.66,3,Unknown,GRO-BRD-GRE-026,7,Low Stock,30 days return policy,39,0.01,0.98,2.97,2.94,Low,Low Stock
27,Honey Jar,groceries,6.99,14.4,3.97,34,Unknown,GRO-BRD-HON-027,2,In Stock,90 days return policy,47,1.01,5.98,237.66,203.32,Medium,Medium Stock
28,Ice Cream,groceries,5.49,8.69,3.39,27,Unknown,GRO-BRD-CRE-028,1,In Stock,No return policy,42,0.48,5.01,148.23,135.27,Low,Medium Stock
29,Juice,groceries,3.99,12.06,3.94,50,Unknown,GRO-BRD-JUI-029,1,In Stock,No return policy,25,0.48,3.51,199.5,175.5,Medium,Medium Stock
30,Kiwi,groceries,2.49,15.22,4.93,99,Unknown,GRO-BRD-KIW-030,5,In Stock,7 days return policy,30,0.38,2.11,246.51,208.89,Medium,High Stock
31,Lemon,groceries,0.79,9.7,3.53,31,Unknown,GRO-BRD-LEM-031,3,In Stock,7 days return policy,29,0.08,0.71,24.49,22.01,Low,Medium Stock
32,Milk,groceries,3.49,13.74,2.61,27,Unknown,GRO-BRD-MIL-032,5,In Stock,7 days return policy,5,0.48,3.01,94.23,81.27,Medium,Medium Stock
33,Mulberry,groceries,4.99,12.87,4.95,99,Unknown,GRO-BRD-MUL-033,5,In Stock,No return policy,43,0.64,4.35,494.01,430.65,Medium,High Stock
34,Nescafe Coffee,groceries,7.99,1.59,4.82,57,Unknown,GRO-BRD-NES-034,6,In Stock,30 days return policy,8,0.13,7.86,455.43,448.02,Low,High Stock
35,Potatoes,groceries,2.29,5.38,4.81,13,Unknown,GRO-BRD-POT-035,9,In Stock,90 days return policy,9,0.12,2.17,29.77,28.21,Low,Low Stock
36,Protein Powder,groceries,19.99,7.59,4.18,80,Unknown,GRO-BRD-PRO-036,9,In Stock,No return policy,6,1.52,18.47,1599.2,1477.6,Low,High Stock
37,Red Onions,groceries,1.99,9.9,4.2,82,Unknown,GRO-BRD-ONI-037,9,In Stock,7 days return policy,8,0.2,1.79,163.18,146.78,Low,High Stock
38,Rice,groceries,5.99,9.29,3.18,59,Unknown,GRO-BRD-RIC-038,5,In Stock,No return policy,20,0.56,5.43,353.41,320.37,Low,High Stock
39,Soft Drinks,groceries,1.99,17.48,4.75,53,Unknown,GRO-BRD-SOF-039,9,In Stock,7 days return policy,10,0.35,1.64,105.47,86.92,Medium,High Stock
40,Strawberry,groceries,3.99,1.12,3.08,46,Unknown,GRO-BRD-STR-040,1,In Stock,No return policy,12,0.04,3.95,183.54,181.7,Low,Medium Stock
41,Tissue Paper Box,groceries,2.49,13.28,2.69,86,Unknown,GRO-BRD-TIS-041,1,In Stock,90 days return policy,44,0.33,2.16,214.14,185.76,Medium,High Stock
42,Water,groceries,0.99,14.92,4.96,53,Unknown,GRO-BRD-WAT-042,4,In Stock,7 days return policy,28,0.15,0.84,52.47,44.52,Medium,High Stock
43,Decoration Swing,home-decoration,59.99,10.41,3.16,47,Unknown,HOM-BRD-DEC-043,4,In Stock,90 days return policy,8,6.24,53.75,2819.53,2526.25,Medium,Medium Stock
44,Family Tree Photo Frame,home-decoration,29.99,14.87,4.53,77,Unknown,HOM-BRD-FAM-044,1,In Stock,No return policy,15,4.46,25.53,2309.23,1965.81,Medium,High Stock
45,House Showpiece Plant,home-decoration,39.99,7.46,4.67,28,Unknown,HOM-BRD-HOU-045,8,In Stock,No return policy,3,2.98,37.01,1119.72,1036.28,Low,Medium Stock
46,Plant Pot,home-decoration,14.99,6.84,3.01,59,Unknown,HOM-BRD-PLA-046,9,In Stock,30 days return policy,31,1.03,13.96,884.41,823.64,Low,High Stock
47,Table Lamp,home-decoration,49.99,7.09,3.55,9,Unknown,HOM-BRD-TAB-047,4,In Stock,90 days return policy,2,3.54,46.45,449.91,418.05,Low,Low Stock
48,Bamboo Spatula,kitchen-accessories,7.99,2.84,3.27,37,Unknown,KIT-BRD-BAM-048,3,In Stock,60 days return policy,29,0.23,7.76,295.63,287.12,Low,Medium Stock
49,Black Aluminium Cup,kitchen-accessories,5.99,15.65,4.46,75,Unknown,KIT-BRD-BLA-049,7,In Stock,30 days return policy,48,0.94,5.05,449.25,378.75,Medium,High Stock
50,Black Whisk,kitchen-accessories,9.99,10.24,3.9,73,Unknown,KIT-BRD-BLA-050,1,In Stock,30 days return policy,40,1.02,8.97,729.27,654.81,Medium,High Stock
51,Boxed Blender,kitchen-accessories,39.99,7.26,4.56,9,Unknown,KIT-BRD-BOX-051,1,In Stock,7 days return policy,4,2.9,37.09,359.91,333.81,Low,Low Stock
52,Carbon Steel Wok,kitchen-accessories,29.99,6.53,4.05,40,Unknown,KIT-BRD-CAR-052,2,In Stock,7 days return policy,9,1.96,28.03,1199.6,1121.2,Low,Medium Stock
53,Chopping Board,kitchen-accessories,12.99,8.03,3.7,14,Unknown,KIT-BRD-CHO-053,2,In Stock,No return policy,5,1.04,11.95,181.86,167.3,Low,Low Stock
54,Citrus Squeezer Yellow,kitchen-accessories,8.99,12.1,4.63,22,Unknown,KIT-BRD-CIT-054,2,In Stock,60 days return policy,38,1.09,7.9,197.78,173.8,Medium,Medium Stock
55,Egg Slicer,kitchen-accessories,6.99,14.76,3.09,40,Unknown,KIT-BRD-SLI-055,2,In Stock,No return policy,32,1.03,5.96,279.6,238.4,Medium,Medium Stock
56,Electric Stove,kitchen-accessories,49.99,14.04,4.11,21,Unknown,KIT-BRD-ELE-056,5,In Stock,7 days return policy,8,7.02,42.97,1049.79,902.37,Medium,Medium Stock
57,Fine Mesh Strainer,kitchen-accessories,9.99,3.5,3.04,85,Unknown,KIT-BRD-FIN-057,9,In Stock,7 days return policy,43,0.35,9.64,849.15,819.4,Low,High Stock
58,Fork,kitchen-accessories,3.99,8.07,3.11,7,Unknown,KIT-BRD-FOR-058,9,In Stock,No return policy,36,0.32,3.67,27.93,25.69,Low,Low Stock
59,Glass,kitchen-accessories,4.99,7.92,4.02,46,Unknown,KIT-BRD-GLA-059,10,In Stock,7 days return policy,17,0.4,4.59,229.54,211.14,Low,Medium Stock
60,Grater Black,kitchen-accessories,10.99,3.56,3.21,84,Unknown,KIT-BRD-GRA-060,3,In Stock,60 days return policy,5,0.39,10.6,923.16,890.4,Low,High Stock
61,Hand Blender,kitchen-accessories,34.99,17.02,3.86,84,Unknown,KIT-BRD-HAN-061,5,In Stock,No return policy,11,5.96,29.03,2939.16,2438.52,Medium,High Stock
62,Ice Cube Tray,kitchen-accessories,5.99,0.63,4.71,13,Unknown,KIT-BRD-CUB-062,3,In Stock,No return policy,16,0.04,5.95,77.87,77.35,Low,Low Stock
63,Kitchen Sieve,kitchen-accessories,7.99,18.91,3.09,68,Unknown,KIT-BRD-KIT-063,5,In Stock,No return policy,5,1.51,6.48,543.32,440.64,Medium,High Stock
64,Knife,kitchen-accessories,14.99,18.86,3.26,7,Unknown,KIT-BRD-KNI-064,3,Low Stock,7 days return policy,50,2.83,12.16,104.93,85.12,Medium,Low Stock
65,Lunch Box,kitchen-accessories,12.99,10.34,4.93,94,Unknown,KIT-BRD-LUN-065,9,In Stock,30 days return policy,39,1.34,11.65,1221.06,1095.1,Medium,High Stock
66,Microwave Oven,kitchen-accessories,89.99,12.13,4.82,59,Unknown,KIT-BRD-MIC-066,9,In Stock,7 days return policy,4,10.92,79.07,5309.41,4665.13,Medium,High Stock
67,Mug Tree Stand,kitchen-accessories,15.99,9.25,2.64,88,Unknown,KIT-BRD-TRE-067,3,In Stock,30 days return policy,45,1.48,14.51,1407.12,1276.88,Low,High Stock
68,Pan,kitchen-accessories,24.99,3.0,2.79,90,Unknown,KIT-BRD-PRD-068,8,In Stock,30 days return policy,17,0.75,24.24,2249.1,2181.6,Low,High Stock
69,Plate,kitchen-accessories,3.99,7.31,3.65,66,Unknown,KIT-BRD-PLA-069,4,In Stock,90 days return policy,6,0.29,3.7,263.34,244.2,Low,High Stock
70,Red Tongs,kitchen-accessories,6.99,14.52,4.42,82,Unknown,KIT-BRD-TON-070,7,In Stock,30 days return policy,23,1.01,5.98,573.18,490.36,Medium,High Stock
71,Silver Pot With Glass Cap,kitchen-accessories,39.99,5.7,3.22,40,Unknown,KIT-BRD-SIL-071,7,In Stock,90 days return policy,10,2.28,37.71,1599.6,1508.4,Low,Medium Stock
72,Slotted Turner,kitchen-accessories,8.99,13.35,3.4,88,Unknown,KIT-BRD-SLO-072,8,In Stock,7 days return policy,34,1.2,7.79,791.12,685.52,Medium,High Stock
73,Spice Rack,kitchen-accessories,19.99,12.09,4.87,79,Unknown,KIT-BRD-SPI-073,7,In Stock,7 days return policy,18,2.42,17.57,1579.21,1388.03,Medium,High Stock
74,Spoon,kitchen-accessories,4.99,1.53,4.03,59,Unknown,KIT-BRD-SPO-074,6,In Stock,90 days return policy,15,0.08,4.91,294.41,289.69,Low,High Stock
75,Tray,kitchen-accessories,16.99,7.48,4.62,71,Unknown,KIT-BRD-TRA-075,10,In Stock,7 days return policy,23,1.27,15.72,1206.29,1116.12,Low,High Stock
76,Wooden Rolling Pin,kitchen-accessories,11.99,9.75,2.92,80,Unknown,KIT-BRD-WOO-076,7,In Stock,30 days return policy,11,1.17,10.82,959.2,865.6,Low,High Stock
77,Yellow Peeler,kitchen-accessories,5.99,12.48,4.24,35,Unknown,KIT-BRD-YEL-077,7,In Stock,90 days return policy,6,0.75,5.24,209.65,183.4,Medium,Medium Stock
78,Apple MacBook Pro 14 Inch Space Grey,laptops,1999.99,4.69,3.65,24,Apple,LAP-APP-APP-078,9,In Stock,90 days return policy,1,93.8,1906.19,47999.76,45748.56,Low,Medium Stock
79,Asus Zenbook Pro Dual Screen Laptop,laptops,1799.99,11.14,3.95,45,Asus,LAP-ASU-ASU-079,9,In Stock,7 days return policy,1,200.52,1599.47,80999.55,71976.15,Medium,Medium Stock
80,Huawei Matebook X Pro,laptops,1399.99,9.38,4.98,75,Huawei,LAP-HUA-HUA-080,9,In Stock,60 days return policy,1,131.32,1268.67,104999.25,95150.25,Low,High Stock
81,Lenovo Yoga 920,laptops,1099.99,6.55,2.86,40,Lenovo,LAP-LEN-LEN-081,9,In Stock,No return policy,1,72.05,1027.94,43999.6,41117.6,Low,Medium Stock
82,New DELL XPS 13 9300 Laptop,laptops,1499.99,11.89,2.67,74,Dell,LAP-DEL-DEL-082,2,In Stock,60 days return policy,1,178.35,1321.64,110999.26,97801.36,Medium,High Stock
83,Blue & Black Check Shirt,mens-shirts,29.99,15.35,3.64,38,Fashion Trends,MEN-FAS-BLU-083,4,In Stock,30 days return policy,18,4.6,25.39,1139.62,964.82,Medium,Medium Stock
84,Gigabyte Aorus Men Tshirt,mens-shirts,24.99,0.94,3.18,90,Gigabyte,MEN-GIG-GIG-084,4,In Stock,30 days return policy,16,0.23,24.76,2249.1,2228.4,Low,High Stock
85,Man Plaid Shirt,mens-shirts,34.99,19.5,3.46,82,Classic Wear,MEN-CLA-PLA-085,3,In Stock,7 days return policy,13,6.82,28.17,2869.18,2309.94,Medium,High Stock
86,Man Short Sleeve Shirt,mens-shirts,19.99,6.83,2.9,2,Casual Comfort,MEN-CAS-SHO-086,2,Low Stock,30 days return policy,4,1.37,18.62,39.98,37.24,Low,Low Stock
87,Men Check Shirt,mens-shirts,27.99,11.38,2.72,95,Urban Chic,MEN-URB-CHE-087,10,In Stock,30 days return policy,12,3.19,24.8,2659.05,2356.0,Medium,High Stock
88,Nike Air Jordan 1 Red And Black,mens-shoes,149.99,4.12,4.77,7,Nike,MEN-NIK-NIK-088,3,In Stock,No return policy,1,6.18,143.81,1049.93,1006.67,Low,Low Stock
89,Nike Baseball Cleats,mens-shoes,79.99,18.04,3.88,12,Nike,MEN-NIK-NIK-089,9,In Stock,No return policy,3,14.43,65.56,959.88,786.72,Medium,Low Stock
90,Puma Future Rider Trainers,mens-shoes,89.99,4.2,4.9,90,Puma,MEN-PUM-PUM-090,6,In Stock,90 days return policy,10,3.78,86.21,8099.1,7758.9,Low,High Stock
91,Sports Sneakers Off White & Red,mens-shoes,119.99,4.97,4.77,17,Off White,MEN-OFF-SPO-091,7,In Stock,30 days return policy,5,5.96,114.03,2039.83,1938.51,Low,Low Stock
92,Sports Sneakers Off White Red,mens-shoes,109.99,0.04,4.69,62,Off White,MEN-OFF-SPO-092,9,In Stock,60 days return policy,3,0.04,109.95,6819.38,6816.9,Low,High Stock
93,Brown Leather Belt Watch,mens-watches,89.99,5.99,4.19,32,Fashion Timepieces,MEN-FAS-BRO-093,10,In Stock,30 days return policy,7,5.39,84.6,2879.68,2707.2,Low,Medium Stock
94,Longines Master Collection,mens-watches,1499.99,17.24,3.87,100,Longines,MEN-LON-LON-094,4,In Stock,7 days return policy,1,258.6,1241.39,149999.0,124139.0,Medium,High Stock
95,Rolex Cellini Date Black Dial,mens-watches,8999.99,8.88,4.97,40,Rolex,MEN-ROL-ROL-095,2,In Stock,90 days return policy,1,799.2,8200.79,359999.6,328031.6,Low,Medium Stock
96,Rolex Cellini Moonphase,mens-watches,12999.99,17.52,2.58,36,Rolex,MEN-ROL-ROL-096,2,In Stock,7 days return policy,1,2277.6,10722.39,467999.64,386006.04,Medium,Medium Stock
97,Rolex Datejust,mens-watches,10999.99,3.73,3.66,86,Rolex,MEN-ROL-ROL-097,4,In Stock,7 days return policy,1,410.3,10589.69,945999.14,910713.34,Low,High Stock
98,Rolex Submariner Watch,mens-watches,13999.99,5.05,2.69,55,Rolex,MEN-ROL-ROL-098,4,In Stock,90 days return policy,1,707.0,13292.99,769999.45,731114.45,Low,High Stock
99,Amazon Echo Plus,mobile-accessories,99.99,12.07,4.99,61,Amazon,MOB-AMA-AMA-099,5,In Stock,7 days return policy,9,12.07,87.92,6099.39,5363.12,Medium,High Stock
100,Apple Airpods,mobile-accessories,129.99,15.54,4.15,67,Apple,MOB-APP-APP-100,4,In Stock,No return policy,4,20.2,109.79,8709.33,7355.93,Medium,High Stock
101,Apple AirPods Max Silver,mobile-accessories,549.99,13.67,3.47,59,Apple,MOB-APP-APP-101,2,In Stock,No return policy,1,75.18,474.81,32449.41,28013.79,Medium,High Stock
102,Apple Airpower Wireless Charger,mobile-accessories,79.99,4.48,3.68,1,Apple,MOB-APP-APP-102,5,Low Stock,90 days return policy,7,3.58,76.41,79.99,76.41,Low,Low Stock
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,99.99,18.1,4.62,27,Apple,MOB-APP-APP-103,10,In Stock,90 days return policy,8,18.1,81.89,2699.73,2211.03,Medium,Medium Stock
104,Apple iPhone Charger,mobile-accessories,19.99,18.52,4.15,31,Apple,MOB-APP-APP-104,1,In Stock,90 days return policy,14,3.7,16.29,619.69,504.99,Medium,Medium Stock
105,Apple MagSafe Battery Pack,mobile-accessories,99.99,17.17,3.62,1,Apple,MOB-APP-APP-105,6,Low Stock,No return policy,4,17.17,82.82,99.99,82.82,Medium,Low Stock
106,Apple Watch Series 4 Gold,mobile-accessories,349.99,12.02,2.74,33,Apple,MOB-APP-APP-106,6,In Stock,No return policy,3,42.07,307.92,11549.67,10161.36,Medium,Medium Stock
107,Beats Flex Wireless Earphones,mobile-accessories,49.99,5.73,4.24,50,Beats,MOB-BEA-BEA-107,8,In Stock,7 days return policy,17,2.86,47.13,2499.5,2356.5,Low,Medium Stock
108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,29.99,13.85,3.62,69,Apple,MOB-APP-IPH-108,7,In Stock,90 days return policy,4,4.15,25.84,2069.31,1782.96,Medium,High Stock
109,Monopod,mobile-accessories,19.99,8.58,4.43,48,TechGear,MOB-TEC-MON-109,10,In Stock,60 days return policy,30,1.72,18.27,959.52,876.96,Low,Medium Stock
110,Selfie Lamp with iPhone,mobile-accessories,14.99,19.4,3.55,58,GadgetMaster,MOB-GAD-SEL-110,10,In Stock,60 days return policy,22,2.91,12.08,869.42,700.64,Medium,High Stock
111,Selfie Stick Monopod,mobile-accessories,12.99,19.12,3.88,11,SnapTech,MOB-SNA-SEL-111,2,In Stock,30 days return policy,8,2.48,10.51,142.89,115.61,Medium,Low Stock
112,TV Studio Camera Pedestal,mobile-accessories,499.99,8.31,2.78,15,ProVision,MOB-PRO-STU-112,4,In Stock,7 days return policy,1,41.55,458.44,7499.85,6876.6,Low,Low Stock
113,Generic Motorcycle,motorcycle,3999.99,12.1,4.91,34,Generic Motors,MOT-GEN-GEN-113,8,In Stock,7 days return policy,1,484.0,3515.99,135999.66,119543.66,Medium,Medium Stock
114,Kawasaki Z800,motorcycle,8999.99,9.77,3.98,52,Kawasaki,MOT-KAW-KAW-114,9,In Stock,90 days return policy,1,879.3,8120.69,467999.48,422275.88,Low,High Stock
115,MotoGP CI.H1,motorcycle,14999.99,6.92,2.97,10,MotoGP,MOT-MOT-MOT-115,1,In Stock,30 days return policy,1,1038.0,13961.99,149999.9,139619.9,Low,Low Stock
116,Scooter Motorcycle,motorcycle,2999.99,6.27,2.53,84,ScootMaster,MOT-SCO-SCO-116,7,In Stock,7 days return policy,1,188.1,2811.89,251999.16,236198.76,Low,High Stock
117,Sportbike Motorcycle,motorcycle,7499.99,11.58,3.94,0,SpeedMaster,MOT-SPE-SPO-117,10,Out of Stock,30 days return policy,1,868.5,6631.49,0.0,0.0,Medium,Out of Stock
118,Attitude Super Leaves Hand Soap,skin-care,8.99,18.49,3.19,94,Attitude,SKI-ATT-ATT-118,1,In Stock,60 days return policy,41,1.66,7.33,845.06,689.02,Medium,High Stock
119,Olay Ultra Moisture Shea Butter Body Wash,skin-care,12.99,16.39,4.51,34,Olay,SKI-OLA-OLA-119,4,In Stock,30 days return policy,33,2.13,10.86,441.66,369.24,Medium,Medium Stock
120,Vaseline Men Body and Face Lotion,skin-care,9.99,13.39,3.16,95,Vaseline,SKI-VAS-VAS-120,4,In Stock,90 days return policy,9,1.34,8.65,949.05,821.75,Medium,High Stock
121,iPhone 5s,smartphones,199.99,12.91,2.83,25,Apple,SMA-APP-IPH-121,2,In Stock,60 days return policy,3,25.82,174.17,4999.75,4354.25,Medium,Medium Stock
122,iPhone 6,smartphones,299.99,6.69,3.41,60,Apple,SMA-APP-IPH-122,7,In Stock,7 days return policy,5,20.07,279.92,17999.4,16795.2,Low,High Stock
123,iPhone 13 Pro,smartphones,1099.99,9.37,4.12,56,Apple,SMA-APP-IPH-123,8,In Stock,7 days return policy,1,103.07,996.92,61599.44,55827.52,Low,High Stock
124,iPhone X,smartphones,899.99,19.59,2.51,37,Apple,SMA-APP-IPH-124,1,In Stock,7 days return policy,2,176.31,723.68,33299.63,26776.16,Medium,Medium Stock
125,Oppo A57,smartphones,249.99,2.43,3.94,19,Oppo,SMA-OPP-OPP-125,5,In Stock,90 days return policy,3,6.07,243.92,4749.81,4634.48,Low,Low Stock
126,Oppo F19 Pro Plus,smartphones,399.99,18.64,3.51,78,Oppo,SMA-OPP-OPP-126,6,In Stock,90 days return policy,1,74.56,325.43,31199.22,25383.54,Medium,High Stock
127,Oppo K1,smartphones,299.99,18.29,4.25,55,Oppo,SMA-OPP-OPP-127,5,In Stock,30 days return policy,5,54.87,245.12,16499.45,13481.6,Medium,High Stock
128,Realme C35,smartphones,149.99,15.3,4.2,48,Realme,SMA-REA-REA-128,2,In Stock,90 days return policy,3,22.95,127.04,7199.52,6097.92,Medium,Medium Stock
129,Realme X,smartphones,299.99,6.95,3.7,12,Realme,SMA-REA-REA-129,4,In Stock,No return policy,3,20.85,279.14,3599.88,3349.68,Low,Low Stock
130,Realme XT,smartphones,349.99,11.51,4.58,80,Realme,SMA-REA-REA-130,3,In Stock,60 days return policy,3,40.28,309.71,27999.2,24776.8,Medium,High Stock
131,Samsung Galaxy S7,smartphones,299.99,19.55,3.3,67,Samsung,SMA-SAM-SAM-131,10,In Stock,No return policy,1,58.65,241.34,20099.33,16169.78,Medium,High Stock
132,Samsung Galaxy S8,smartphones,499.99,19.45,4.4,0,Samsung,SMA-SAM-SAM-132,6,Out of Stock,No return policy,4,97.25,402.74,0.0,0.0,Medium,Out of Stock
133,Samsung Galaxy S10,smartphones,699.99,5.59,3.06,19,Samsung,SMA-SAM-SAM-133,9,In Stock,30 days return policy,2,39.13,660.86,13299.81,12556.34,Low,Low Stock
134,Vivo S1,smartphones,249.99,10.17,3.5,50,Vivo,SMA-VIV-VIV-134,4,In Stock,7 days return policy,1,25.42,224.57,12499.5,11228.5,Medium,Medium Stock
135,Vivo V9,smartphones,299.99,17.67,3.6,82,Vivo,SMA-VIV-VIV-135,4,In Stock,60 days return policy,2,53.01,246.98,24599.18,20252.36,Medium,High Stock
136,Vivo X21,smartphones,499.99,17.41,4.26,7,Vivo,SMA-VIV-VIV-136,10,In Stock,60 days return policy,3,87.05,412.94,3499.93,2890.58,Medium,Low Stock
137,American Football,sports-accessories,19.99,4.93,4.91,53,Unknown,SPO-BRD-AME-137,2,In Stock,90 days return policy,1,0.99,19.0,1059.47,1007.0,Low,High Stock
138,Baseball Ball,sports-accessories,8.99,1.71,2.57,100,Unknown,SPO-BRD-BAS-138,5,In Stock,30 days return policy,11,0.15,8.84,899.0,884.0,Low,High Stock
139,Baseball Glove,sports-accessories,24.99,2.9,3.96,22,Unknown,SPO-BRD-BAS-139,1,In Stock,90 days return policy,8,0.72,24.27,549.78,533.94,Low,Medium Stock
140,Basketball,sports-accessories,14.99,7.44,4.66,75,Unknown,SPO-BRD-BAS-140,7,In Stock,90 days return policy,11,1.12,13.87,1124.25,1040.25,Low,High Stock
141,Basketball Rim,sports-accessories,39.99,7.74,4.6,43,Unknown,SPO-BRD-BAS-141,1,In Stock,No return policy,9,3.1,36.89,1719.57,1586.27,Low,Medium Stock
142,Cricket Ball,sports-accessories,12.99,8.63,3.53,30,Unknown,SPO-BRD-CRI-142,7,In Stock,7 days return policy,11,1.12,11.87,389.7,356.1,Low,Medium Stock
143,Cricket Bat,sports-accessories,29.99,3.29,3.17,98,Unknown,SPO-BRD-CRI-143,10,In Stock,No return policy,16,0.99,29.0,2939.02,2842.0,Low,High Stock
144,Cricket Helmet,sports-accessories,44.99,9.64,4.69,10,Unknown,SPO-BRD-CRI-144,10,In Stock,60 days return policy,4,4.34,40.65,449.9,406.5,Low,Low Stock
145,Cricket Wicket,sports-accessories,29.99,16.93,4.73,25,Unknown,SPO-BRD-CRI-145,5,In Stock,No return policy,20,5.08,24.91,749.75,622.75,Medium,Medium Stock
146,Feather Shuttlecock,sports-accessories,5.99,2.95,2.85,95,Unknown,SPO-BRD-FEA-146,4,In Stock,60 days return policy,30,0.18,5.81,569.05,551.95,Low,High Stock
147,Football,sports-accessories,17.99,5.15,3.28,96,Unknown,SPO-BRD-FOO-147,1,In Stock,7 days return policy,27,0.93,17.06,1727.04,1637.76,Low,High Stock
